fips,PST045213,PST040210,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010213,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010212,BZA110212,BZA115212,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
00000,316128839,308747716,2.4,308745538,6.3,23.3,14.1,50.8,77.7,13.2,1.2,5.3,0.2,2.4,17.1,62.6,84.9,12.9,20.7,86.0,28.8,21263779,25.5,132802859,64.9,26.0,176700,115610216,2.63,28155,53046,15.4,7431808,115938468,2.2,22735915,27092908,7.1,0.9,5.7,0.1,8.3,28.8,5319456312,4174286516,3917663456,12990,613795732,829658,3531905.43,87.4
01000,4833722,4779758,1.1,4779736,6.1,23.0,14.9,51.5,69.8,26.6,0.7,1.3,0.1,1.5,4.1,66.4,85.0,3.5,5.2,83.1,22.6,388865,24.2,2189938,69.7,15.9,122500,1838683,2.55,23680,43253,18.6,97938,1585761,0.8,315382,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,13506,50645.33,94.4
01001,55246,54571,1.2,54571,6.1,25.4,13.5,51.5,78.1,18.4,0.5,1.1,0.1,1.7,2.7,75.9,85.0,1.6,3.5,85.6,20.9,5922,26.2,22540,76.8,8.3,136200,20071,2.71,24571,53682,12.1,817,9908,-3.7,2916,4067,15.2,0.0,1.3,0.0,0.7,31.7,0,0,598175,12003,88157,385,594.44,91.8
01003,195540,182265,7.3,182265,5.7,22.4,18.1,51.2,87.3,9.5,0.7,0.9,0.1,1.5,4.6,83.1,82.1,3.6,5.5,89.1,27.7,19346,25.9,105800,72.6,24.4,168600,73283,2.52,26766,50221,13.9,4751,53042,3.2,16390,19035,2.7,0.4,1.0,0.0,1.3,27.3,1410273,0,2966489,17166,436955,1184,1589.78,114.6
01005,27076,27457,-1.4,27457,5.8,21.1,15.9,46.5,50.2,47.6,0.6,0.5,0.2,0.9,4.8,46.3,84.8,2.9,5.0,73.7,13.4,2120,24.6,11733,67.7,10.6,89200,9200,2.66,16829,32911,26.7,478,7005,-7.5,1525,1667,0.0,0.0,0.0,0.0,0.0,27.0,0,0,188337,6334,0,2,884.88,31.0
01007,22512,22919,-1.8,22915,5.3,21.3,14.3,46.0,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.6,86.6,1.2,2.1,77.5,12.1,1327,27.6,8901,79.0,7.3,90500,7091,3.03,17427,36447,18.1,292,2925,-1.8,1134,1385,14.9,0.0,0.0,0.0,0.0,0.0,0,0,124707,5804,10757,16,622.58,36.8
01009,57872,57322,1.0,57322,6.1,23.8,16.4,50.6,96.0,1.8,0.6,0.3,0.1,1.1,8.7,87.8,88.7,4.3,7.3,77.0,12.1,4540,33.9,23677,81.0,4.5,117100,21108,2.70,20730,44145,15.8,688,6575,3.6,3551,4458,0.0,0.0,0.0,0.0,0.0,23.2,341544,0,319700,5622,20941,6,644.78,88.9
01011,10639,10915,-2.5,10914,6.3,21.0,14.6,45.2,27.2,69.9,0.8,0.3,0.8,1.0,7.8,22.2,84.7,5.4,5.2,67.8,12.5,636,26.9,4434,74.3,8.7,70600,3741,2.73,18628,32033,21.6,112,0,0.0,485,417,0.0,0.0,0.0,0.0,0.0,38.8,0,0,43810,3995,3670,0,622.81,17.5
01013,20265,20946,-3.3,20947,6.1,23.3,17.7,53.4,54.3,43.6,0.4,1.0,0.0,0.7,1.2,53.5,94.6,0.8,1.7,76.3,14.0,1497,24.0,9862,70.3,13.3,74700,8235,2.47,17403,29918,28.4,403,5563,3.9,1148,1769,0.0,0.0,3.3,0.0,0.0,0.0,399132,56712,229277,11326,28427,9,776.83,27.0
01015,116736,118572,-1.5,118572,5.8,22.2,15.5,51.7,76.0,20.9,0.5,0.8,0.1,1.6,3.5,73.1,83.6,2.4,4.5,78.6,16.1,11385,22.5,53053,68.7,13.8,100600,45196,2.54,20828,39962,21.9,2294,34679,-3.9,6430,8713,7.2,0.0,1.6,0.0,0.5,24.7,2679991,0,1542981,13678,186533,71,605.87,195.7
01017,34162,34170,0.0,34215,5.9,21.4,17.8,52.0,58.8,39.1,0.2,0.7,0.1,1.1,2.0,57.4,85.8,1.1,1.3,75.1,11.8,2691,24.6,16829,67.9,11.1,81200,13722,2.46,19291,32402,24.1,528,6444,0.4,2262,1981,0.0,0.0,0.0,0.0,0.0,29.3,667283,0,264650,7620,23237,9,596.53,57.4
01019,26203,25986,0.8,25989,4.8,20.7,20.1,50.4,93.2,4.5,0.5,0.2,0.0,1.5,1.5,91.8,90.6,0.7,1.1,78.3,12.8,2174,26.9,16134,76.1,4.6,99400,11656,2.20,22030,34907,21.2,372,3664,2.1,1563,2180,0.0,0.0,0.0,0.0,0.0,14.5,307439,62293,186321,7613,13948,9,553.70,46.9
01021,43951,43642,0.7,43643,6.5,24.2,14.9,50.8,87.5,10.3,0.5,0.4,0.2,1.1,7.7,80.7,88.8,5.2,7.4,76.0,12.9,3308,31.8,19098,74.5,4.1,102600,16232,2.67,20701,41250,19.5,693,6800,2.3,2699,0,0.0,0.0,0.0,0.0,0.0,0.0,0,155139,359910,8496,34073,17,692.85,63.0
01023,13426,13858,-3.1,13859,5.0,21.0,20.3,52.5,56.2,42.7,0.2,0.3,0.0,0.5,0.7,55.8,91.4,0.3,1.3,75.2,11.8,938,33.4,7186,83.7,4.0,58200,5518,2.45,20323,33941,21.5,271,2859,3.8,831,1102,26.2,0.0,0.0,0.0,0.0,44.1,0,52904,84633,5969,11345,1,913.50,15.2
01025,25207,25840,-2.4,25833,5.5,23.0,17.5,52.7,54.1,44.2,0.4,0.5,0.0,0.8,1.3,53.2,92.5,0.3,1.3,78.3,11.2,1583,25.5,12501,72.9,6.8,85600,9631,2.63,18979,29357,29.3,590,6413,-0.3,1684,2374,0.0,0.0,0.0,0.0,0.0,28.6,571454,85803,344311,13034,23596,8,1238.47,20.9
01027,13486,13932,-3.2,13932,5.4,21.6,19.0,50.8,83.0,14.4,0.6,0.2,0.0,1.8,3.3,80.0,88.3,2.2,3.3,76.5,9.2,1076,30.7,6699,75.0,10.0,79900,5649,2.38,18694,34002,19.0,190,2861,-4.7,782,1005,0.0,0.0,0.0,0.0,0.0,0.0,330878,0,70558,5123,4352,0,603.96,23.1
01029,14994,14972,0.1,14972,5.5,22.6,18.0,50.4,94.7,3.6,0.4,0.2,0.1,1.1,2.2,92.6,89.1,1.5,2.3,76.0,9.0,989,31.4,6644,77.6,6.3,100800,5601,2.64,19108,38019,18.4,156,1626,3.8,911,1280,0.0,0.0,0.0,0.0,0.0,17.7,0,5888,133407,9080,4134,1,560.10,26.7
01031,50938,49948,2.0,49948,6.3,23.7,15.6,50.3,76.7,17.5,1.4,1.5,0.4,2.5,6.6,71.5,83.3,5.1,7.5,82.4,22.5,6066,21.3,22701,69.9,13.5,131000,18820,2.65,23380,43768,18.6,976,12729,2.6,2711,4032,6.0,0.0,1.3,0.0,0.7,29.3,613758,131594,639623,13665,50080,91,678.97,73.6
01033,54520,54428,0.2,54428,5.7,21.7,18.1,51.9,80.8,16.4,0.6,0.5,0.0,1.6,2.5,78.8,87.2,2.0,2.6,83.5,17.7,4376,22.7,25957,72.1,12.3,99300,22260,2.42,21572,39077,17.9,1234,18660,-1.7,3790,4757,0.0,0.0,0.0,0.0,0.0,22.8,2083166,351388,821284,15040,61935,166,592.62,91.8
01035,12887,13228,-2.6,13228,5.5,21.9,19.7,51.7,52.1,46.0,0.4,0.2,0.0,1.3,1.7,51.2,96.9,0.6,2.2,77.3,8.8,1101,27.2,7011,79.1,7.2,69600,4994,2.61,15605,24658,32.7,201,2230,-3.7,669,980,0.0,0.0,0.0,0.0,0.0,23.0,183544,76736,71232,5430,8667,1,850.16,15.6
01037,10898,11544,-5.6,11539,4.6,18.9,18.2,50.2,66.5,31.3,0.7,0.2,0.2,1.2,2.1,65.3,87.2,1.8,3.3,75.0,9.8,934,30.2,6414,83.0,3.0,75100,4506,2.42,18493,37277,20.9,98,955,3.7,392,545,0.0,0.0,0.0,0.0,0.0,0.0,89585,31647,20531,1904,575,0,650.93,17.7
01039,37886,37765,0.3,37765,5.9,22.1,19.6,51.6,84.6,12.7,0.6,0.5,0.0,1.5,1.6,83.4,86.7,1.4,2.1,78.4,14.2,3433,23.3,18674,75.1,6.0,88800,15041,2.48,20391,35869,20.0,841,10752,-0.7,2278,2957,0.0,0.0,0.0,0.0,0.0,0.0,561168,338692,424873,11544,30271,13,1030.46,36.6
01041,13986,13906,0.6,13906,6.2,23.0,17.5,51.5,71.9,24.1,0.5,1.7,0.1,1.6,1.8,70.4,86.3,2.3,3.2,76.7,12.7,1098,30.3,6665,69.9,8.0,70800,5601,2.46,21343,36275,19.1,206,3107,-5.3,818,1027,25.8,0.0,0.0,0.0,0.0,30.2,270809,131874,75456,5491,5640,4,608.84,22.8
